company_name,company_sector,peer_rank,peer_name,peer_sector,similarity_score
TCS,Unknown,1,NESTLEIND,Unknown,0.9874
TCS,Unknown,2,BRITANNIA,Unknown,0.9497
TCS,Unknown,3,MARICO,Unknown,0.9299
TCS,Unknown,4,PIDILITIND,Unknown,0.9295
TCS,Unknown,5,INFY,Unknown,0.9132
RELIANCE,Unknown,1,HDFCBANK,Unknown,0.9861
RELIANCE,Unknown,2,FEDERALBNK,Unknown,0.9807
RELIANCE,Unknown,3,JSWSTEEL,Unknown,0.971
RELIANCE,Unknown,4,IDFCFIRSTB,Unknown,0.9646
RELIANCE,Unknown,5,BANKBARODA,Unknown,0.9611
HDFCBANK,Unknown,1,FEDERALBNK,Unknown,0.9985
HDFCBANK,Unknown,2,JSWSTEEL,Unknown,0.9972
HDFCBANK,Unknown,3,IDFCFIRSTB,Unknown,0.9925
HDFCBANK,Unknown,4,RELIANCE,Unknown,0.9861
HDFCBANK,Unknown,5,BANKBARODA,Unknown,0.9728
INFY,Unknown,1,PIDILITIND,Unknown,0.9938
INFY,Unknown,2,HCLTECH,Unknown,0.9526
INFY,Unknown,3,COALINDIA,Unknown,0.9388
INFY,Unknown,4,MARICO,Unknown,0.9369
INFY,Unknown,5,ITC,Unknown,0.9257
ICICIBANK,Unknown,1,AXISBANK,Unknown,0.9983
ICICIBANK,Unknown,2,UNIONBANK,Unknown,0.9983
ICICIBANK,Unknown,3,KOTAKBANK,Unknown,0.9959
ICICIBANK,Unknown,4,PNB,Unknown,0.9952
ICICIBANK,Unknown,5,MRF,Unknown,0.9896
HINDUNILVR,Unknown,1,ASIANPAINT,Unknown,0.995
HINDUNILVR,Unknown,2,SBIN,Unknown,0.9778
HINDUNILVR,Unknown,3,COALINDIA,Unknown,0.9774
HINDUNILVR,Unknown,4,DABUR,Unknown,0.9738
HINDUNILVR,Unknown,5,BATAINDIA,Unknown,0.973
ITC,Unknown,1,HCLTECH,Unknown,0.9448
ITC,Unknown,2,BHARTIARTL,Unknown,0.9437
ITC,Unknown,3,INFY,Unknown,0.9257
ITC,Unknown,4,COALINDIA,Unknown,0.9112
ITC,Unknown,5,PIDILITIND,Unknown,0.8819
SBIN,Unknown,1,BATAINDIA,Unknown,0.9993
SBIN,Unknown,2,DABUR,Unknown,0.9967
SBIN,Unknown,3,TECHM,Unknown,0.9844
SBIN,Unknown,4,ASIANPAINT,Unknown,0.9816
SBIN,Unknown,5,HINDUNILVR,Unknown,0.9778
BHARTIARTL,Unknown,1,ITC,Unknown,0.9437
BHARTIARTL,Unknown,2,NHPC,Unknown,0.9242
BHARTIARTL,Unknown,3,SJVN,Unknown,0.9063
BHARTIARTL,Unknown,4,SUNTV,Unknown,0.8713
BHARTIARTL,Unknown,5,POWERGRID,Unknown,0.8659
KOTAKBANK,Unknown,1,PNB,Unknown,0.9997
KOTAKBANK,Unknown,2,AXISBANK,Unknown,0.9994
KOTAKBANK,Unknown,3,ICICIBANK,Unknown,0.9959
KOTAKBANK,Unknown,4,BANKBARODA,Unknown,0.9959
KOTAKBANK,Unknown,5,UNIONBANK,Unknown,0.9915
