company_id,company_name,sector,overall_score,health_label,score_profitability,score_revenue_growth,score_leverage,score_cashflow,score_dividend,score_growth_trend
1,Company_1,Pharma,60.39,AVERAGE,6.0,20.0,2.52,15.0,6.87,10
2,Company_2,Auto,53.65,AVERAGE,13.0,0.0,16.15,15.0,9.5,0
3,Company_3,FMCG,81.98,GOOD,17.75,20.0,19.23,15.0,10.0,0
4,Company_4,Auto,56.59,AVERAGE,14.5,14.66,2.43,15.0,10.0,0
5,Company_5,Auto,71.7,GOOD,23.75,6.16,18.75,15.0,8.04,0
6,Company_6,Banking,43.11,WEAK,2.75,0.0,9.06,14.24,7.06,10
7,Company_7,FMCG,79.46,GOOD,20.25,20.0,18.29,15.0,5.91,0
8,Company_8,FMCG,43.97,WEAK,6.5,0.0,12.47,15.0,10.0,0
9,Company_9,FMCG,72.91,GOOD,21.5,17.5,0.0,15.0,8.91,10
10,Company_10,Auto,71.48,GOOD,18.75,19.22,0.55,15.0,7.96,10
11,Company_11,Pharma,68.21,AVERAGE,15.25,20.0,7.96,15.0,10.0,0
12,Company_12,FMCG,57.94,AVERAGE,3.5,19.61,0.0,15.0,9.82,10
13,Company_13,Energy,69.2,AVERAGE,0.75,17.76,15.7,15.0,10.0,10
14,Company_14,Auto,44.96,WEAK,5.25,0.0,5.69,15.0,9.01,10
15,Company_15,Banking,45.97,WEAK,12.25,0.0,0.0,15.0,8.72,10
16,Company_16,Pharma,86.87,EXCELLENT,23.5,9.03,19.34,15.0,10.0,10
17,Company_17,Energy,56.62,AVERAGE,1.5,20.0,2.02,13.1,10.0,10
18,Company_18,Energy,51.07,AVERAGE,8.0,8.07,0.0,15.0,10.0,10
19,Company_19,Banking,74.68,GOOD,19.0,19.75,13.39,15.0,7.55,0
20,Company_20,Pharma,53.1,AVERAGE,0.5,0.0,17.6,15.0,10.0,10
21,Company_21,Auto,80.02,GOOD,16.5,20.0,8.52,15.0,10.0,10
22,Company_22,IT,59.95,AVERAGE,23.25,15.25,0.0,15.0,6.45,0
23,Company_23,Pharma,55.1,AVERAGE,9.0,0.0,11.1,15.0,10.0,10
24,Company_24,Banking,48.05,WEAK,5.5,17.55,0.0,15.0,10.0,0
25,Company_25,Energy,61.27,AVERAGE,11.0,20.0,7.54,15.0,7.73,0
26,Company_26,Auto,62.94,AVERAGE,1.0,14.04,12.89,15.0,10.0,10
27,Company_27,Pharma,75.24,GOOD,24.5,16.24,9.5,15.0,10.0,0
28,Company_28,IT,79.82,GOOD,10.25,20.0,14.57,15.0,10.0,10
29,Company_29,IT,28.75,POOR,3.75,0.0,0.0,15.0,10.0,0
30,Company_30,FMCG,69.52,AVERAGE,19.5,9.01,16.01,15.0,10.0,0
31,Company_31,FMCG,75.66,GOOD,15.75,18.22,7.45,14.24,10.0,10
32,Company_32,Banking,64.01,AVERAGE,20.0,0.0,19.24,15.0,9.76,0
33,Company_33,Pharma,71.75,GOOD,12.0,20.0,5.35,15.0,9.39,10
34,Company_34,Pharma,79.25,GOOD,24.25,20.0,0.0,15.0,10.0,10
35,Company_35,Energy,64.7,AVERAGE,18.0,17.34,4.36,15.0,10.0,0
36,Company_36,Energy,30.8,POOR,9.75,0.0,0.0,15.0,6.05,0
37,Company_37,Energy,81.28,GOOD,22.25,17.85,7.21,15.0,8.98,10
38,Company_38,FMCG,75.74,GOOD,13.75,20.0,19.58,15.0,7.41,0
39,Company_39,Pharma,48.14,WEAK,9.5,14.69,0.11,15.0,8.84,0
40,Company_40,Pharma,47.85,WEAK,1.75,0.0,12.31,15.0,8.78,10
41,Company_41,IT,64.05,AVERAGE,21.25,10.12,7.68,15.0,10.0,0
42,Company_42,FMCG,43.94,WEAK,10.75,0.0,8.19,15.0,10.0,0
43,Company_43,Auto,57.39,AVERAGE,16.75,6.19,0.0,15.0,9.45,10
44,Company_44,FMCG,41.49,WEAK,1.25,7.26,0.0,15.0,7.98,10
45,Company_45,Auto,34.15,POOR,3.25,5.9,0.0,15.0,10.0,0
46,Company_46,IT,75.42,GOOD,19.75,11.98,10.05,15.0,8.63,10
47,Company_47,Banking,61.64,AVERAGE,16.0,10.51,10.14,15.0,10.0,0
48,Company_48,Pharma,63.95,AVERAGE,17.5,13.41,0.0,15.0,8.04,10
49,Company_49,IT,45.13,WEAK,7.25,13.35,0.0,15.0,9.53,0
50,Company_50,Pharma,53.51,AVERAGE,11.75,0.0,16.84,15.0,9.92,0
51,Company_51,Energy,78.43,GOOD,14.0,15.2,18.58,15.0,5.64,10
52,Company_52,Banking,67.71,AVERAGE,0.25,16.63,15.82,15.0,10.0,10
53,Company_53,Banking,48.26,WEAK,12.5,7.58,4.83,15.0,8.34,0
54,Company_54,IT,68.5,AVERAGE,13.5,20.0,0.0,15.0,10.0,10
55,Company_55,Banking,39.37,WEAK,2.25,0.0,2.12,15.0,10.0,10
56,Company_56,Auto,64.72,AVERAGE,17.0,13.83,0.0,15.0,8.89,10
57,Company_57,Banking,68.72,AVERAGE,20.5,20.0,4.63,15.0,8.59,0
58,Company_58,Pharma,59.18,AVERAGE,8.75,11.12,14.3,15.0,10.0,0
59,Company_59,Pharma,83.79,GOOD,11.5,17.58,19.7,15.0,10.0,10
60,Company_60,Pharma,53.2,AVERAGE,9.25,9.62,0.0,15.0,9.33,10
61,Company_61,Pharma,69.98,AVERAGE,5.0,20.0,19.98,15.0,10.0,0
62,Company_62,Auto,52.25,AVERAGE,17.25,0.0,0.0,15.0,10.0,10
63,Company_63,FMCG,83.05,GOOD,19.25,14.92,15.07,15.0,8.8,10
64,Company_64,Energy,91.58,EXCELLENT,25.0,13.92,17.66,15.0,10.0,10
65,Company_65,IT,62.09,AVERAGE,11.25,18.58,0.0,15.0,7.26,10
66,Company_66,Pharma,40.71,WEAK,6.25,0.0,0.0,15.0,9.46,10
67,Company_67,Banking,66.8,AVERAGE,7.75,15.38,8.68,15.0,10.0,10
68,Company_68,Pharma,58.33,AVERAGE,20.75,12.63,0.0,15.0,9.95,0
69,Company_69,Banking,51.26,AVERAGE,4.75,6.84,15.62,15.0,9.05,0
70,Company_70,Energy,42.0,WEAK,8.25,0.0,9.32,15.0,9.43,0
71,Company_71,Energy,67.16,AVERAGE,23.0,20.0,1.97,15.0,7.19,0
72,Company_72,Energy,65.23,AVERAGE,4.5,16.02,9.71,15.0,10.0,10
73,Company_73,Banking,62.34,AVERAGE,21.75,0.0,15.59,15.0,10.0,0
74,Company_74,Pharma,52.0,AVERAGE,2.5,14.5,0.0,15.0,10.0,10
75,Company_75,Energy,56.12,AVERAGE,7.0,14.77,10.16,15.0,9.18,0
76,Company_76,Auto,69.55,AVERAGE,18.5,20.0,6.05,15.0,10.0,0
77,Company_77,Banking,42.66,WEAK,18.25,0.0,0.0,15.0,9.41,0
