company_name,forecast_year,forecasted_operating_profit,method,forecast_step
RELIANCE,2026-27,161079.8,ARIMA,1
RELIANCE,2027-28,160895.5,ARIMA,2
RELIANCE,2028-29,160887.98,ARIMA,3
ONGC,2026-27,91478.7,ARIMA,1
ONGC,2027-28,91131.92,ARIMA,2
ONGC,2028-29,91177.86,ARIMA,3
BHARTIARTL,2026-27,87503.8,ARIMA,1
BHARTIARTL,2027-28,88707.99,ARIMA,2
BHARTIARTL,2028-29,89301.35,ARIMA,3
TCS,2026-27,71660.86,ARIMA,1
TCS,2027-28,75914.71,ARIMA,2
TCS,2028-29,80168.56,ARIMA,3
NTPC,2026-27,57446.14,ARIMA,1
NTPC,2027-28,60537.22,ARIMA,2
NTPC,2028-29,63628.24,ARIMA,3
POWERGRID,2026-27,39666.9,ARIMA,1
POWERGRID,2027-28,40407.11,ARIMA,2
POWERGRID,2028-29,41067.33,ARIMA,3
COALINDIA,2026-27,47157.49,ARIMA,1
COALINDIA,2027-28,47137.83,ARIMA,2
COALINDIA,2028-29,47141.96,ARIMA,3
INFY,2026-27,41638.86,ARIMA,1
INFY,2027-28,44041.7,ARIMA,2
INFY,2028-29,46444.51,ARIMA,3
TATASTEEL,2026-27,26995.5,ARIMA,1
TATASTEEL,2027-28,27494.75,ARIMA,2
TATASTEEL,2028-29,27641.58,ARIMA,3
LT,2026-27,36142.23,ARIMA,1
LT,2027-28,37949.39,ARIMA,2
LT,2028-29,39756.48,ARIMA,3
BAJAJFINSV,2026-27,56185.92,ARIMA,1
BAJAJFINSV,2027-28,61640.26,ARIMA,2
BAJAJFINSV,2028-29,66105.92,ARIMA,3
ITC,2026-27,26179.44,ARIMA,1
ITC,2027-28,26024.93,ARIMA,2
ITC,2028-29,26095.05,ARIMA,3
JSWSTEEL,2026-27,25111.61,ARIMA,1
JSWSTEEL,2027-28,24315.39,ARIMA,2
JSWSTEEL,2028-29,24581.03,ARIMA,3
BPCL,2026-27,32999.17,ARIMA,1
BPCL,2027-28,29427.27,ARIMA,2
BPCL,2028-29,31106.42,ARIMA,3
HINDALCO,2026-27,30971.06,ARIMA,1
HINDALCO,2027-28,30915.93,ARIMA,2
HINDALCO,2028-29,30912.29,ARIMA,3
HCLTECH,2026-27,27149.95,ARIMA,1
HCLTECH,2027-28,28795.9,ARIMA,2
HCLTECH,2028-29,30441.84,ARIMA,3
GRASIM,2026-27,28244.32,ARIMA,1
GRASIM,2027-28,28249.47,ARIMA,2
GRASIM,2028-29,28247.97,ARIMA,3
WIPRO,2026-27,18756.25,ARIMA,1
WIPRO,2027-28,19491.5,ARIMA,2
WIPRO,2028-29,20226.74,ARIMA,3
MARUTI,2026-27,18913.38,ARIMA,1
MARUTI,2027-28,18558.46,ARIMA,2
MARUTI,2028-29,18462.35,ARIMA,3
HINDUNILVR,2026-27,15201.87,ARIMA,1
HINDUNILVR,2027-28,15514.09,ARIMA,2
HINDUNILVR,2028-29,15785.72,ARIMA,3
