company_name,sector,trend_label,slope,norm_slope,avg_operating_profit,data_points
TCS,Unknown,UP,5296.1,0.0911,58113.0,5
RELIANCE,Unknown,UP,22353.3,0.1694,131957.0,5
INFY,Unknown,UP,2762.8,0.0812,34034.2,5
HINDUNILVR,Unknown,UP,823.6,0.0604,13626.4,5
ITC,Unknown,UP,2211.3,0.0966,22883.8,5
BHARTIARTL,Unknown,UP,9992.1,0.1482,67408.0,5
LT,Unknown,UP,2619.4,0.0949,27606.6,5
ASIANPAINT,Unknown,UP,508.1,0.0861,5902.2,5
MARUTI,Unknown,UP,4250.0,0.3481,12208.4,5
SUNPHARMA,Unknown,UP,1604.8,0.1371,11702.0,5
TITAN,Unknown,UP,988.6,0.2361,4187.4,5
ULTRACEMCO,Unknown,FLAT,392.3,0.033,11895.6,5
WIPRO,Unknown,FLAT,656.8,0.0395,16613.4,5
NESTLEIND,Unknown,FLAT,138.0,0.0275,5020.33,3
POWERGRID,Unknown,FLAT,1128.0,0.0299,37677.8,5
NTPC,Unknown,UP,5172.9,0.1135,45565.2,5
TECHM,Unknown,FLAT,-317.8,-0.0467,6809.8,5
HCLTECH,Unknown,UP,1458.1,0.0646,22581.4,5
ONGC,Unknown,UP,10128.5,0.1278,79223.6,5
ADANIENT,Unknown,UP,3115.5,0.3831,8133.4,5
ADANIPORTS,Unknown,UP,2496.7,0.1985,12578.6,5
COALINDIA,Unknown,UP,8012.2,0.2194,36523.2,5
BAJAJFINSV,Unknown,UP,7919.7,0.2454,32274.8,5
GRASIM,Unknown,UP,2601.8,0.112,23222.4,5
JSWSTEEL,Unknown,FLAT,-586.3,-0.0228,25728.8,5
TATASTEEL,Unknown,DOWN,-5165.4,-0.1486,34768.0,5
HINDALCO,Unknown,UP,2401.7,0.0966,24849.8,5
DIVISLAB,Unknown,DOWN,-146.3,-0.0511,2861.0,5
DRREDDY,Unknown,UP,1351.1,0.2208,6118.4,5
CIPLA,Unknown,UP,749.0,0.1374,5450.2,5
EICHERMOT,Unknown,UP,803.1,0.244,3291.8,5
HEROMOTOCO,Unknown,UP,544.1,0.1213,4487.4,5
BPCL,Unknown,UP,3374.5,0.14,24104.0,5
BRITANNIA,Unknown,UP,230.0,0.0828,2776.8,5
APOLLOHOSP,Unknown,UP,399.1,0.1844,2164.2,5
DABUR,Unknown,FLAT,77.6,0.0349,2226.4,5
GODREJCP,Unknown,UP,178.0,0.0673,2644.6,5
MARICO,Unknown,UP,144.5,0.0782,1849.0,5
PIDILITIND,Unknown,UP,350.2,0.1557,2249.4,5
BERGEPAINT,Unknown,UP,187.8,0.1218,1541.6,5
HAVELLS,Unknown,UP,127.8,0.0707,1808.2,5
VOLTAS,Unknown,UP,58.4,0.0996,586.4,5
TATACONSUM,Unknown,UP,243.5,0.1232,1976.4,5
UPL,Unknown,DOWN,-768.0,-0.0972,7900.4,5
DMART,Unknown,UP,710.4,0.2154,3297.4,5
NYKAA,Unknown,UP,81.7,0.2916,280.2,5
PAYTM,Unknown,DOWN,210.5,-0.1266,-1663.0,5
POLICYBZR,Unknown,DOWN,122.1,-0.336,-363.4,5
IRCTC,Unknown,UP,137.5,0.0961,1431.0,3
INDIGO,Unknown,UP,5195.7,0.6248,8315.6,5
MOTHERSON,Unknown,UP,1721.0,0.2461,6994.2,5
BOSCHLTD,Unknown,UP,293.4,0.1661,1766.8,5
HDFCLIFE,Unknown,DOWN,-54.6,-0.0725,753.4,5
NHPC,Unknown,FLAT,121.5,0.0235,5166.6,5
SJVN,Unknown,FLAT,76.1,0.038,2000.0,5
TORNTPOWER,Unknown,UP,467.1,0.1071,4359.8,5
ADANIPOWER,Unknown,UP,3380.7,0.2474,13662.2,5
TATAPOWER,Unknown,UP,1419.4,0.1592,8916.2,5
ZEEL,Unknown,DOWN,-165.4,-0.1251,1322.6,5
SUNTV,Unknown,FLAT,48.7,0.0212,2300.8,5
PVRINOX,Unknown,UP,546.1,0.655,833.8,5
ASHOKLEY,Unknown,UP,1858.3,0.3393,5476.8,5
ESCORTS,Unknown,FLAT,24.0,0.0233,1031.2,5
BALKRISIND,Unknown,UP,154.1,0.0752,2049.2,5
APOLLOTYRE,Unknown,UP,342.7,0.1019,3361.8,5
MRF,Unknown,UP,449.3,0.1423,3157.2,5
JUBLFOOD,Unknown,UP,165.7,0.1438,1152.6,5
WESTLIFE,Unknown,UP,71.6,0.266,269.2,5
BATAINDIA,Unknown,UP,153.8,0.2607,590.0,5
RADICO,Unknown,UP,63.5,0.135,470.2,5
UNITDSPR,Unknown,UP,277.5,0.1672,1659.8,5
